Classifier,Matrix_Name,economy,education,entertainment,international,sports,state,technology
MultinomialNB,F1_Score,0.841908932,0.842395882,0.904339454,0.87790292,0.95162624,0.827202797,0.825391423
MultinomialNB,Precession,0.838678407,0.900550275,0.885641164,0.841153626,0.961699164,0.808544087,0.87503007
MultinomialNB,Recall,0.845164442,0.791296703,0.923844316,0.918010006,0.941762139,0.846743021,0.781082242
LogisticRegression,F1_Score,0.867300504,0.88691523,0.921102329,0.898120943,0.958552767,0.859118222,0.853629339
LogisticRegression,Precession,0.865752758,0.887149266,0.917061281,0.883452077,0.961380162,0.868995313,0.865401589
LogisticRegression,Recall,0.868853794,0.886681319,0.925179149,0.913285158,0.955741953,0.849463135,0.842173073
LinearSVC,F1_Score,0.88,0.903833573,0.934276061,0.912261393,0.968211152,0.873219893,0.868059314
LinearSVC,Precession,0.878856772,0.896832266,0.926435035,0.903221413,0.969568488,0.891249255,0.875163684
LinearSVC,Recall,0.881146206,0.910945055,0.942250948,0.921484158,0.96685761,0.855905512,0.861069358
DecisionTreeClassifier,F1_Score,0.625189433,0.737898983,0.741835586,0.644943511,0.812182048,0.655205759,0.613075061
DecisionTreeClassifier,Precession,0.629131976,0.736027289,0.7431956,0.639480874,0.813264957,0.655651925,0.614496818
DecisionTreeClassifier,Recall,0.621295995,0.73978022,0.74048054,0.650500278,0.811102019,0.6547602,0.611659867
KNeighborsClassifier,F1_Score,0.829710566,0.863378587,0.885580604,0.801710281,0.910246698,0.757921316,0.803358992
KNeighborsClassifier,Precession,0.791645102,0.844298798,0.893690084,0.7460213,0.880295598,0.879157218,0.87924432
KNeighborsClassifier,Recall,0.871621622,0.883340659,0.877616973,0.866384102,0.942307692,0.66607015,0.739531887
